CustomerID,Age,Gender,TenureMonths,ContractType,PaymentMethod,MonthlyCharges,TotalCharges,SupportCalls,Churn
bdd640fb-0667-4ad1-9c80-317fa3b1799d,56,Female,15,One year,Electronic check,79.69,1149.51,7,No
23b8c1e9-3924-46de-beb1-3b9046685257,57,Female,3,Month-to-month,Mailed check,92.2,270.39,5,Yes
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,38,Male,58,One year,Credit card,22.31,1172.02,2,No
972a8469-1641-4f82-8b9d-2434e465e150,69,Female,3,Two year,Bank transfer,37.05,141.32,6,Yes
17fc695a-07a0-4a6e-8822-e8f36c031199,42,Female,14,Two year,Electronic check,21.6,264.95,6,No
9a1de644-815e-46d1-bb8f-aa1837f8a88b,25,Male,35,Two year,Credit card,38.22,1298.78,3,No
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,23,Female,4,Month-to-month,Bank transfer,104.23,308.0,3,Yes
6b65a6a4-8b81-48f6-b38a-088ca65ed389,65,Male,62,Month-to-month,Credit card,94.73,5821.07,4,Yes
47378190-96da-4dac-b2ff-5d2a386ecbe0,42,Female,60,One year,Electronic check,49.63,2884.02,7,Yes
c241330b-01a9-471f-9e8a-774bcf36d58b,28,Male,8,One year,Electronic check,80.6,576.46,9,Yes
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,58,Female,7,Two year,Credit card,53.09,362.74,7,No
371ecd7b-27cd-4130-8722-9389571aa876,61,Female,35,Month-to-month,Electronic check,117.17,4080.43,2,No
1a2a73ed-562b-4f79-8374-59eef50bea63,43,Male,14,Month-to-month,Electronic check,91.07,1267.45,2,Yes
5be6128e-18c2-4797-a142-ea7d17be3111,56,Male,52,One year,Credit card,110.76,5711.24,6,No
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,32,Male,29,Month-to-month,Credit card,79.89,2352.06,9,No
759cde66-bacf-43d0-8b1f-9163ce9ff57f,23,Female,28,Month-to-month,Credit card,109.26,3077.33,9,Yes
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,42,Male,62,Month-to-month,Electronic check,84.77,5212.22,8,Yes
4b0dbb41-8d52-48f1-942c-3fe860e7a113,50,Male,44,Month-to-month,Bank transfer,52.32,2276.75,7,No
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,66,Female,58,Two year,Mailed check,89.63,5160.62,7,Yes
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,66,Female,2,Month-to-month,Bank transfer,47.86,118.59,0,No
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,19,Male,44,Month-to-month,Mailed check,44.21,2002.38,0,No
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,41,Male,70,Month-to-month,Bank transfer,29.03,2069.7,0,Yes
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,23,Female,3,One year,Bank transfer,42.02,170.44,3,No
7412b293-4729-4739-a14f-f3d719db3ad0,69,Male,33,Month-to-month,Bank transfer,113.67,3781.38,0,No
29a3b2e9-5d65-4441-9588-42dea2bc372f,42,Female,23,One year,Mailed check,45.79,1105.36,8,No
ab9099a4-35a2-40ae-9af3-05535ec42e08,66,Female,1,Month-to-month,Credit card,75.83,102.15,6,Yes
aefcfad8-efc8-4849-b3aa-7efe4458a885,52,Male,48,Two year,Credit card,108.71,5248.96,0,Yes
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,55,Female,25,Month-to-month,Credit card,50.54,1324.35,1,No
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,33,Male,41,Month-to-month,Credit card,43.72,1850.45,7,No
451b4cf3-6123-4df7-b656-af7229d4beef,34,Female,33,One year,Bank transfer,56.77,1832.38,6,Yes
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,47,Female,51,Two year,Bank transfer,63.44,3300.46,0,No
5304317f-af42-412f-b838-b3268e944239,65,Male,4,Month-to-month,Electronic check,24.36,30.26,4,No
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,58,Male,24,Month-to-month,Mailed check,116.67,2757.74,6,Yes
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,20,Female,18,One year,Bank transfer,104.42,1803.82,2,No
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,41,Female,32,One year,Bank transfer,34.01,1141.19,0,No
9132b63e-f162-47e4-a9c3-49e03602f8ac,26,Male,48,One year,Mailed check,100.94,4847.69,2,No
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,41,Male,60,One year,Electronic check,82.79,4939.6,2,No
e27a984d-6548-41d0-bfcd-9eb1a7cad415,45,Female,66,Month-to-month,Bank transfer,23.59,1550.55,8,Yes
24933b83-7577-40a9-a491-f0b2ea1fca65,39,Female,58,Month-to-month,Credit card,23.88,1402.76,4,Yes
beb79919-3f22-4af8-a3be-d01d43cf2fde,61,Female,5,Month-to-month,Mailed check,25.17,31.83,3,Yes
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,52,Male,40,One year,Electronic check,116.95,4612.6,9,Yes
956269f0-e5d7-4875-adad-d6c795a76d79,54,Female,62,Two year,Electronic check,88.85,5409.17,0,Yes
ff50bde4-3825-47b8-9cab-cc97663f1c97,18,Male,34,Month-to-month,Mailed check,91.46,3046.6,6,Yes
7e570ddf-8270-40a8-a369-b584ff5e9ff0,22,Female,67,Month-to-month,Credit card,35.86,2448.51,5,Yes
dc713d96-0c0f-4195-817a-f08a1745d6d8,31,Female,69,Month-to-month,Mailed check,105.55,7271.08,9,No
28f49481-a0a0-4dc4-a720-9bdf1c11f735,38,Male,33,Month-to-month,Electronic check,59.85,2068.65,9,No
98ae4334-6c12-4ce8-ae34-0454cac5b68c,53,Female,52,Month-to-month,Mailed check,113.34,6053.03,3,No
988c24c9-61b1-4d22-a280-1c4510435a10,33,Male,2,Month-to-month,Credit card,83.64,171.49,3,Yes
